"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
733,17.5046224968,-15.7359520852,1137.495,1000,707870.3,1000,707870.9,0.0,0.1%,983
734,17.4998432801,-15.7286965118,1139.022,952.35,708822.7,952.35,708823.2,0.1,0.2%,984
735,17.4952440257,-15.7229819126,1137.207,801.79,709624.4,801.79,709625,0.1,0.2%,985
736,17.4862363994,-15.7217418326,1138.246,975.15,710599.6,975.15,710600.2,0.1,0.1%,986
737,17.4788863490,-15.7257939604,1138.706,906.45,711506,906.45,711506.6,0.0,0.1%,987
738,17.4706960731,-15.7284114399,1137.62,924.37,712430.4,924.37,712431,0.1,0.1%,989
739,17.4672353468,-15.7205235941,1136.329,948.38,713378.8,948.38,713379.4,0.1,0.1%,990
740,17.4668116993,-15.7115684190,1137.111,991.98,714370.8,991.98,714371.4,0.0,0.1%,991
741,17.4724257345,-15.7059953632,1139.267,861.64,715232.4,861.64,715233,0.1,0.3%,993
742,17.4707489448,-15.6982498699,1138.237,875.73,716108.1,875.73,716108.7,0.1,0.1%,995
743,17.4617603716,-15.6960781548,1140.661,993.04,717101.2,993.04,717101.8,0.1,0.2%,996
744,17.4596234858,-15.6891511519,1140.4,800.01,717901.2,800.01,717901.8,0.0,0.0%,999
745,17.4561889890,-15.6816213665,1138.603,910.93,718812.1,910.93,718812.7,0.1,0.2%,1001
746,17.4473654903,-15.6802305789,1140.791,958.34,719770.5,958.34,719771,0.1,0.2%,1002
747,17.4408299955,-15.6746826476,1140.951,931.54,720702,931.54,720702.6,0.0,0.0%,1004
748,17.4362423215,-15.6668141571,1141.427,1000,721702,1000,721702.6,0.0,0.0%,1004
749,17.4296924645,-15.6604560783,1142.251,994.03,722696,994.03,722696.6,0.0,0.1%,1006
750,17.4218156197,-15.6556165396,1141.226,999.99,723696,999.99,723696.6,0.1,0.1%,1006
751,17.4139387748,-15.6507770009,1150.858,1000,724696,1000.1,724696.7,0.6,1.0%,1006
752,17.4069670374,-15.6448421548,1144.93,995.01,725691,995.03,725691.7,0.3,0.6%,1008
753,17.4027048301,-15.6368040576,1148.781,999.99,726691,1000,726691.7,0.2,0.4%,1008
754,17.3984426229,-15.6287659604,1157.72,1000,727691,1000,727691.7,0.5,0.9%,1008
755,17.3929725375,-15.6215995516,1156.229,986.36,728677.4,986.36,728678.1,0.1,0.2%,1009
756,17.3845789731,-15.6178819735,1162.948,989.63,729667,989.65,729667.8,0.4,0.7%,1010
757,17.3790036997,-15.6107983649,1167.43,985.83,730652.9,985.84,730653.6,0.3,0.5%,1012
758,17.3763519602,-15.6022676810,1178.784,985.87,731638.7,985.93,731639.5,0.7,1.2%,1014
759,17.3746945798,-15.5934054300,1185.041,996.63,732635.4,996.65,732636.2,0.4,0.6%,1015
760,17.3727193361,-15.5853691464,1185.787,914.14,733549.5,914.14,733550.3,0.0,0.1%,1016
761,17.3774580048,-15.5775862297,1186.67,1000,734549.5,1000,734550.3,0.1,0.1%,1016
762,17.3798346474,-15.5689149567,1186.6,992.8,735542.3,992.8,735543.1,0.0,0.0%,1017
763,17.3822643881,-15.5602928421,1187.094,989.03,736531.3,989.03,736532.1,0.0,0.0%,1018
764,17.3877803402,-15.5530073262,1188.009,1000,737531.3,1000,737532.1,0.1,0.1%,1018
765,17.3839458944,-15.5452984705,1187.722,947.01,738478.3,947.01,738479.2,0.0,0.0%,1020
766,17.3768749647,-15.5399375576,1188.003,962.94,739441.3,962.94,739442.1,0.0,0.0%,1021
767,17.3676993231,-15.5397943131,1188.052,984.45,740425.7,984.45,740426.5,0.0,0.0%,1022
768,17.3584176094,-15.5406310987,1189.064,1000,741425.7,1000,741426.5,0.1,0.1%,1022
769,17.3503465399,-15.5365025385,1188.814,978.97,742404.7,978.97,742405.5,0.0,0.0%,1024
770,17.3437801373,-15.5300883784,1190.563,999.99,743404.7,999.99,743405.5,0.1,0.2%,1024
771,17.3372137347,-15.5236742182,1191,1000,744404.7,1000,744405.5,0.0,0.0%,1024
772,17.3302970719,-15.5195484043,1191.233,871.25,745275.9,871.25,745276.8,0.0,0.0%,1026
773,17.3221065544,-15.5238621708,1191.161,1000,746275.9,1000,746276.8,0.0,0.0%,1026
774,17.3136479535,-15.5229303349,1190.508,913.32,747189.3,913.32,747190.1,0.0,0.1%,1028
775,17.3068278244,-15.5169045139,1192.051,989.94,748179.2,989.95,748180,0.1,0.2%,1029
776,17.3027755459,-15.5088659079,1192.53,990.07,749169.3,990.07,749170.1,0.0,0.0%,1031
777,17.2975889791,-15.5015884130,1192.961,978.85,750148.1,978.85,750148.9,0.0,0.0%,1032
778,17.2885400341,-15.5019595884,1193.017,971.78,751119.9,971.78,751120.7,0.0,0.0%,1035
779,17.2798259195,-15.4998501281,1194.883,963.69,752083.6,963.69,752084.4,0.1,0.2%,1036
780,17.2706616633,-15.5002580068,1196.637,984.33,753067.9,984.33,753068.7,0.1,0.2%,1037
781,17.2616571557,-15.4985049515,1196.709,985.44,754053.4,985.44,754054.2,0.0,0.0%,1038
782,17.2541204322,-15.4931888120,1199.951,1000,755053.4,1000,755054.2,0.2,0.3%,1038
783,17.2454719870,-15.4905953102,1205.702,971.35,756024.7,971.36,756025.5,0.3,0.6%,1040
784,17.2370191397,-15.4877021485,1209.134,961.85,756986.5,961.85,756987.4,0.2,0.4%,1041
785,17.2277362133,-15.4869034447,1208.171,1000,757986.5,1000,757987.4,0.1,0.1%,1041
786,17.2185406252,-15.4857206360,1211.275,995.36,758981.9,995.37,758982.8,0.2,0.3%,1042
787,17.2097047201,-15.4839446949,1213.06,968.28,759950.2,968.28,759951.1,0.1,0.2%,1043
788,17.2024164337,-15.4888349374,1212.168,951.01,760901.2,951.02,760902.1,0.1,0.1%,1044
789,17.1949642743,-15.4894343200,1213.229,802.38,761703.6,802.38,761704.4,0.1,0.1%,1045
790,17.1863416649,-15.4860902833,1214.265,996.48,762700.1,996.48,762700.9,0.1,0.1%,1047
791,17.1772453715,-15.4843192040,1216.367,995.55,763695.6,995.55,763696.5,0.1,0.2%,1048
792,17.1679477398,-15.4849348833,1217.759,1000,764695.6,1000,764696.5,0.1,0.1%,1048
793,17.1587351020,-15.4841944018,1219.801,991.95,765687.6,991.95,765688.4,0.1,0.2%,1049
794,17.1495827595,-15.4824918491,1226.621,1000,766687.6,1000,766688.5,0.4,0.7%,1049
795,17.1408391966,-15.4798841691,1226.168,981.61,767669.2,981.61,767670.1,0.0,0.0%,1050
796,17.1333421154,-15.4745165056,1233.078,1000,768669.2,1000,768670.1,0.4,0.7%,1050
797,17.1251750702,-15.4704808244,1223.72,983.62,769652.8,983.67,769653.8,0.5,1.0%,1051
798,17.1182405401,-15.4756019713,1225.465,935.35,770588.1,935.35,770589.1,0.1,0.2%,1053
799,17.1137128006,-15.4835008375,1226,1000,771588.1,1000,771589.1,0.0,0.1%,1053
800,17.1052908394,-15.4843779598,1226.479,908.91,772497,908.91,772498,0.0,0.1%,1055
801,17.0980158823,-15.4789940854,1226.19,982,773479,982,773480,0.0,0.0%,1056
802,17.0911328169,-15.4729017651,1225.813,1000,774479,1000,774480,0.0,0.0%,1056
803,17.0832448456,-15.4681521850,1226.005,996.36,775475.4,996.36,775476.4,0.0,0.0%,1057
804,17.0748914464,-15.4643905287,1228.049,988.36,776463.8,988.36,776464.7,0.1,0.2%,1059
805,17.0656797674,-15.4630270985,1227.143,1000,777463.8,1000,777464.7,0.1,0.1%,1059
