"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
400,14.6081681413,-17.2883322037,1101.833,971.55,384735.5,971.55,384757.1,0.0,0.1%,389
401,14.6109378694,-17.2798253623,1100.89,986.46,385721.9,986.46,385743.6,0.1,0.1%,390
402,14.6129744279,-17.2710106161,1099.881,999.29,386721.2,999.29,386742.9,0.1,0.1%,391
403,14.6165973623,-17.2627689208,1100.098,990.14,387711.4,990.14,387733,0.0,0.0%,392
404,14.6213965121,-17.2549984742,1101.52,1000,388711.4,1000,388733,0.1,0.1%,392
405,14.6261956619,-17.2472280277,1102.154,1000,389711.4,1000,389733,0.0,0.1%,392
406,14.6326305846,-17.2407428264,1102.688,991.69,390703,991.69,390724.7,0.0,0.1%,393
407,14.6411111506,-17.2375953107,1103.704,966.84,391669.9,966.84,391691.6,0.1,0.1%,395
408,14.6498207968,-17.2354829015,1105.223,955.33,392625.2,955.33,392646.9,0.1,0.2%,397
409,14.6555897387,-17.2283478926,1104.141,999.99,393625.2,999.99,393646.9,0.1,0.1%,397
410,14.6613586805,-17.2212128838,1104.247,1000,394625.2,1000,394646.9,0.0,0.0%,397
411,14.6668235017,-17.2138652495,1105.045,999.55,395624.8,999.55,395646.5,0.0,0.1%,399
412,14.6721279326,-17.2064050744,1103.817,1000,396624.8,1000,396646.5,0.1,0.1%,399
413,14.6766275027,-17.1985043347,1106.346,996.81,397621.6,996.81,397643.3,0.1,0.3%,400
414,14.6805989105,-17.1903144897,1107.557,1000,398621.6,1000,398643.3,0.1,0.1%,400
415,14.6832725002,-17.1818043312,1108.295,983.84,399605.4,983.84,399627.1,0.0,0.1%,401
416,14.6832242285,-17.1727860743,1109.732,998.07,400603.5,998.08,400625.2,0.1,0.1%,402
417,14.6860097661,-17.1644286610,1110.118,971.24,401574.7,971.24,401596.4,0.0,0.0%,404
418,14.6911199444,-17.1568450983,1110.092,1000,402574.7,1000,402596.4,0.0,0.0%,404
419,14.6956934517,-17.1489861465,1111.404,996.63,403571.4,996.63,403593.1,0.1,0.1%,405
420,14.6994043952,-17.1406845759,1110.417,1000,404571.4,1000,404593.1,0.1,0.1%,405
421,14.7023192593,-17.1321310440,1112.713,996.14,405567.5,996.15,405589.2,0.1,0.2%,406
422,14.7062473494,-17.1241352487,1112.693,978.66,406546.2,978.66,406567.9,0.0,0.0%,407
423,14.7117407091,-17.1168256114,1113.096,998.08,407544.2,998.08,407565.9,0.0,0.0%,408
424,14.7118981739,-17.1085997433,1112.672,910.52,408454.8,910.52,408476.5,0.0,0.0%,410
425,14.7138560828,-17.1010449147,1110.87,861.67,409316.4,861.67,409338.1,0.1,0.2%,412
426,14.7206616408,-17.0948835595,1108.948,994.78,410311.2,994.79,410332.9,0.1,0.2%,414
427,14.7261951081,-17.0876112132,1107.192,997.3,411308.5,997.31,411330.2,0.1,0.2%,415
428,14.7286464998,-17.0788883594,1109.405,1000,412308.5,1000,412330.2,0.1,0.2%,415
429,14.7340099983,-17.0714841309,1107.545,998.7,413307.2,998.7,413328.9,0.1,0.2%,416
430,14.7311031707,-17.0634595484,1104.168,940.44,414247.7,940.45,414269.4,0.2,0.4%,418
431,14.7306213400,-17.0555359432,1104.386,878.4,415126.1,878.4,415147.8,0.0,0.0%,419
432,14.7376672102,-17.0495840072,1105.059,998.25,416124.3,998.25,416146,0.0,0.1%,421
433,14.7431076871,-17.0424594694,1106.844,978.34,417102.6,978.34,417124.4,0.1,0.2%,422
434,14.7466657794,-17.0340969623,1105.145,1000,418102.6,1000,418124.4,0.1,0.2%,422
435,14.7453720130,-17.0254552558,1106.351,966.24,419068.9,966.24,419090.6,0.1,0.1%,424
436,14.7414939969,-17.0177529538,1107.963,947.15,420016,947.15,420037.8,0.1,0.2%,425
437,14.7427746932,-17.0094243797,1110.019,931.75,420947.8,931.75,420969.5,0.1,0.2%,427
